pH,Elevation
6.273,665.322266
6.273,665.322266
6.371,352.684326
6.468,367.818115
6.399,431.404266
6.21,1155.578857
6.305,1100.233154
6.243,1037.17041
6.317,916.805237
7.059,558.949829
5.267,1400.852417
6.53,651.927673
5.833,875.386108
6.531,1561.426514
6.194,1266.984375
6.099,1266.984375
6.753,665.322266
6.758,757.569885
6.728,749.786194
6.518,757.569885
6.513,444.502045
6.513,444.502045
6.414,876.887207
6.37,1100.36743
6.249,1133.36011
6.35,876.887207
6.432,1218.903198
6.349,1100.36743
6.641,558.949829
6.219,1400.852417
7.344,524.209839
6.729,352.684326
6.815,367.818115
6.659,431.404266
6.549,1155.578857
6.553,1037.17041
6.494,1100.233154
6.503,785.433777
6.676,916.805237
5.491,806.326538
6.298,1209.671997
6.177,1636.796875
6.373,718.657593
6.568,655.070984
6.553,651.927673
5.916,875.386108
6.475,1100.36743
6.521,1218.903198
6.34,1133.36011
6.431,1218.903198
6.026,1636.796875
6.776,352.684326
6.86,367.818115
6.666,431.404266
7.655,524.209839
5.677,1266.984375
6.505,1561.426514
6.716,558.949829
5.751,1266.984375
6.581,665.322266
6.606,444.502045
6.3,1100.233154
6.437,876.887207
6.451,1155.578857
6.547,876.887207
6.484,1037.17041
6.4,1400.852417
6.669,916.805237
6.565,651.927673
5.901,875.386108
6.607,757.569885
6.6,757.569885
5.945,651.927673
5.746,875.386108
7.7,524.209839
6.8,558.949829
5.917,1400.852417
6.432,1561.426514
6.221,665.322266
6.7,757.569885
6.7,757.569885
6.156,1266.984375
6.028,1266.984375
6.6,1037.17041
6.5,1155.578857
6.5,1100.233154
6.7,916.805237
6.6,431.404266
6.5,352.684326
6.7,367.818115
5.5,1218.903198
6,1100.36743
6.3,1218.903198
6.1,1133.36011
5.713,352.684326
6.383,367.818115
6.48,444.502045
6.703,431.404266
5.411,876.887207
6.747,876.887207
6.338,1100.36743
6.189,1133.36011
6.431,1218.903198
6.411,1561.426514
6.534,1400.852417
6.16,1636.796875
6.967,352.684326
6.962,367.818115
6.911,431.404266
6.647,1218.903198
6.245,1133.36011
6.354,1100.36743
6.532,1155.578857
6.485,1037.17041
6.418,1100.233154
6.555,757.569885
6.604,757.569885
6.555,916.805237
6.195,1636.796875
7.593,524.209839
6.61,558.949829
6.655,444.502045
6.48,876.887207
6.07,1266.984375
6.223,1400.852417
6.156,1266.984375
6.408,1561.426514
6.538,665.322266
5.982,651.927673
5.909,875.386108
5.996,651.927673
6.746,431.404266
6.849,352.684326
6.849,352.684326
6.92,367.818115
6.186,1133.36011
6.457,1155.578857
6.578,1218.903198
6.2,875.386108
6.431,1100.233154
6.322,1100.36743
6.424,1037.17041
5.81,1636.796875
6.549,757.569885
6.569,757.569885
6.546,916.805237
5.679,1266.984375
5.65,1266.984375
6.424,665.322266
6.249,444.502045
6.11,876.887207
6.232,876.887207
5.55,1400.852417
6.22,1561.426514
7.001,558.949829
7.565,524.209839
6.365,444.502045
6.694,367.818115
6.859,352.684326
6.831,431.404266
6.248,876.887207
6.491,1218.903198
6.267,876.887207
6.455,1133.36011
6.32,1100.36743
6.32,1100.36743
5.839,1636.796875
6.599,1400.852417
6.527,757.569885
6.589,757.569885
6.395,1155.578857
6.564,1100.233154
6.449,1037.17041
6.449,1037.17041
7.31,524.209839
6.69,1561.426514
6.379,1266.984375
6.157,1266.984375
6.74,558.949829
6.457,916.805237
6.477,665.322266
6.17,1209.671997
6.29,718.657593
6.21,444.502045
6.21,444.502045
6.168,876.887207
6.185,876.887207
6.045,1400.852417
5.955,1636.796875
5.984,651.927673
5.924,875.386108
6.131,1266.984375
6.395,1561.426514
6.395,1561.426514
6.201,1266.984375
6.415,665.322266
6.316,806.326538
6.385,1100.233154
6.407,1037.17041
6.423,1155.578857
6.425,757.569885
6.405,785.433777
6.418,757.569885
6.58,749.786194
6.451,916.805237
6.231,655.070984
6.369,1218.903198
6.17,1133.36011
6.376,1100.36743
6.633,352.684326
6.61,431.404266
6.586,367.818115
7.108,524.209839
6.716,558.949829
6.339,444.502045
4.648,1400.852417
6.187,431.404266
6.48,367.818115
6.286,444.502045
6.398,352.684326
5.967,876.887207
6.17,1100.36743
6.088,1133.36011
6.984,524.209839
6.662,558.949829
6.329,651.927673
5.717,875.386108
5.912,1266.984375
6.319,1561.426514
6.188,665.322266
6.36,916.805237
5.791,651.927673
5.669,875.386108
6.69,773.111755
6.239,806.326538
6.839,579.964905
6.841,852.403687
6.826,654.744446
6.651,655.070984
6.83,749.684937
6.338,352.684326
6.416,367.818115
6.231,444.502045
6.298,1037.17041
6.282,1100.233154
6.022,1133.36011
5.817,876.887207
6.393,1155.578857
6.371,1209.671997
5.805,1636.796875
6.232,1266.984375
6.369,785.433777
5.37,1400.852417
6.198,916.805237
6.398,665.322266
6.561,550.33136
6.14,1561.426514
6.8,874.982056
6.768,874.982056
5.871,558.949829
7.155,524.209839
6.811,718.657593
6.485,718.657593
5.943,651.927673
6.495,874.982056
6.406,773.111755
5.836,875.386108
6.104,1209.671997
5.876,1636.796875
6.488,718.657593
6.467,852.403687
6.442,655.070984
6.463,579.964905
6.517,654.744446
6.036,887.638123
6.496,749.684937
6.479,881.295166
7.401,554.234009
6.672,1155.578857
6.522,1100.233154
6.685,785.433777
6.747,749.786194
6.527,757.569885
6.546,916.805237
6.471,444.502045
6.351,876.887207
6.274,1100.36743
6.358,1218.903198
6.118,1400.852417
6.14,1266.984375
6.431,1561.426514
6.466,665.322266
6.423,352.684326
6.637,367.818115
6.399,550.33136
7.389,524.209839
6.583,558.949829
5.875,550.33136
5.539,651.927673
6.605,874.982056
6.498,773.111755
6.413,875.386108
6.335,806.326538
6.803,749.786194
6.059,1209.671997
6.432,1561.426514
6.151,1266.984375
6.621,718.657593
6.632,916.805237
6.564,665.322266
6.684,579.964905
6.645,852.403687
6.561,655.070984
6.629,654.744446
5.771,887.638123
6.424,925.228821
6.601,749.684937
6.499,558.949829
6.644,367.818115
6.725,352.684326
6.416,444.502045
6.732,444.502045
6.344,876.887207
6.259,1133.36011
6.169,1100.36743
6.227,1400.852417
7.488,554.234009
5.797,1636.796875
6.825,444.502045
6.403,1400.852417
6.685,550.33136
6.838,431.404266
6.833,431.404266
6.799,874.982056
6.776,773.111755
6.57,1209.671997
6.477,1636.796875
6.84,718.657593
6.875,852.403687
6.849,579.964905
6.849,579.964905
6.819,655.070984
6.769,654.744446
6.783,881.295166
6.782,749.684937
6.669,925.228821
6.786,554.234009
6.468,806.326538
6.632,524.209839
6.721,558.949829
6.335,887.638123
6.856,352.684326
7.008,367.818115
6.856,352.684326
6.602,876.887207
6.541,1100.36743
6.541,1100.36743
6.569,876.887207
6.569,876.887207
6.448,1100.36743
6.45,1133.36011
6.35,1133.36011
6.54,1218.903198
6.291,1266.984375
6.279,1266.984375
6.388,1561.426514
6.702,665.322266
6.163,651.927673
6.112,875.386108
6.124,875.386108
6.124,875.386108
6.692,757.569885
6.691,757.569885
6.585,785.433777
6.729,749.786194
6.585,785.433777
6.588,916.805237
6.588,1100.233154
6.578,1155.578857
6.54,773.111755
6.575,874.982056
6.591,718.657593
6.554,718.657593
6.568,655.070984
6.463,852.403687
6.546,654.744446
6.562,749.684937
6.505,881.295166
6.889,554.234009
6.308,550.33136
6.18,444.502045
5.693,1133.36011
5.737,876.887207
5.771,876.887207
6.522,1155.578857
6.411,1100.233154
6.397,1037.17041
5.981,1218.903198
5.468,1100.36743
5.614,1636.796875
5.807,1266.984375
6.327,1209.671997
6.623,757.569885
6.421,1561.426514
7.036,524.209839
6.664,749.786194
6.4,785.433777
6.462,558.949829
5.825,1400.852417
6.468,579.964905
6.779,367.818115
6.514,352.684326
6.59,431.404266
5.742,651.927673
5.553,875.386108
6.219,806.326538
6.049,887.638123
5.942,887.638123
6.632,874.982056
6.57,773.111755
6.537,1037.17041
6.511,1155.578857
6.52,1100.233154
6.602,785.433777
5.9,1636.796875
6.621,718.657593
6.557,916.805237
6.613,654.744446
6.679,852.403687
6.634,579.964905
6.513,655.070984
6.69,749.684937
6.605,881.295166
6.496,925.228821
5.868,651.927673
6.319,806.326538
5.914,875.386108
5.949,1266.984375
6.515,1561.426514
6.734,757.569885
6.079,1266.984375
6.568,749.786194
6.575,665.322266
6.26,887.638123
6.455,444.502045
6.378,1133.36011
6.424,876.887207
6.431,876.887207
6.357,1100.36743
6.448,1218.903198
6.365,1400.852417
6.349,1209.671997
6.408,550.33136
6.762,431.404266
6.641,352.684326
6.79,367.818115
7.762,524.209839
6.562,558.949829
6.188,1209.671997
7.652,554.234009
5.989,651.927673
6.557,550.33136
6.585,874.982056
5.83,875.386108
6.339,806.326538
7.725,524.209839
6.77,558.949829
6.581,718.657593
6.306,579.964905
6.534,655.070984
6.536,852.403687
6.593,654.744446
6.538,881.295166
6.458,749.684937
6.113,887.638123
6.23,887.638123
6.865,352.684326
6.938,367.818115
6.821,431.404266
6.694,444.502045
6.406,876.887207
6.489,876.887207
6.652,1218.903198
6.417,1133.36011
6.423,1100.36743
6.276,1400.852417
6.669,1155.578857
6.568,1100.233154
6.603,1037.17041
6.956,749.786194
6.775,757.569885
6.176,1266.984375
6.459,1561.426514
6.714,785.433777
6.671,757.569885
6.111,1266.984375
6.654,665.322266
6.616,916.805237
6.62,925.228821
6.483,773.111755
6.421,874.982056
6.494,1037.17041
5.747,1636.796875
6.505,718.657593
6.355,718.657593
6.446,852.403687
6.454,654.744446
6.401,579.964905
6.46,655.070984
6.338,881.295166
6.448,749.684937
6.094,651.927673
6.493,806.326538
5.955,875.386108
6.444,887.638123
6.404,887.638123
6.597,444.502045
6.315,1133.36011
6.419,876.887207
6.346,876.887207
6.579,1218.903198
6.395,1100.36743
6.285,1400.852417
6.564,367.818115
6.56,352.684326
6.451,431.404266
6.255,1209.671997
7.692,554.234009
6.392,550.33136
6.381,550.33136
6.652,1155.578857
6.315,1100.233154
7.676,524.209839
6.516,558.949829
6.153,1266.984375
6.429,1561.426514
6.663,757.569885
6.215,1266.984375
6.652,757.569885
6.593,785.433777
6.828,749.786194
6.375,665.322266
6.635,916.805237
6.464,925.228821
6.546,651.927673
5.788,875.386108
6.275,806.326538
6.153,887.638123
6.121,887.638123
6.42,773.111755
6.44,874.982056
6.561,1561.426514
5.899,1266.984375
5.947,1266.984375
5.73,1636.796875
6.513,665.322266
6.41,718.657593
6.42,718.657593
6.42,579.964905
6.33,655.070984
6.312,550.33136
7.279,554.234009
6.3,550.33136
7.214,524.209839
6.466,558.949829
6.11,1100.233154
6.305,1037.17041
6.339,1155.578857
6.56,757.569885
6.504,785.433777
6.484,757.569885
6.671,749.786194
6.509,916.805237
6.394,925.228821
6.478,431.404266
6.378,352.684326
6.232,444.502045
6.607,367.818115
5.698,876.887207
5.617,1100.36743
5.799,876.887207
5.711,1133.36011
5.927,1218.903198
5.141,1400.852417
5.93,1209.671997
6.5,654.744446
6.39,852.403687
6.49,749.684937
6.45,881.295166
6.31,1155.578857
6.27,1100.233154
6.34,1037.17041
6.55,749.786194
6.44,785.433777
6.47,757.569885
6.49,757.569885
6.5,916.805237
6.35,925.228821
7.16,554.234009
6.29,550.33136
6.49,651.927673
6.32,550.33136
5.64,875.386108
6.06,806.326538
5.91,1266.984375
5.92,1266.984375
7.19,524.209839
6.47,1561.426514
6.46,558.949829
6.39,665.322266
6.47,718.657593
5.99,887.638123
6.04,887.638123
6.28,444.502045
6.56,352.684326
6.66,367.818115
6.56,431.404266
5.92,1133.36011
6.26,1218.903198
6.14,876.887207
6.14,876.887207
6.13,1100.36743
5.95,1400.852417
6.3,773.111755
6.43,874.982056
5.42,1636.796875
6.31,1209.671997
6.46,718.657593
6.52,655.070984
6.48,579.964905
6.49,654.744446
6.5,852.403687
6.54,749.684937
6.4,881.295166
6.45,431.404266
6.35,444.502045
6.24,773.111755
6.69,352.684326
6.86,367.818115
6.35,1218.903198
6.02,876.887207
5.85,1133.36011
6.13,1100.36743
6.01,876.887207
5.86,1400.852417
6.29,718.657593
6.43,718.657593
6.21,852.403687
6.36,654.744446
6.37,655.070984
6.43,579.964905
6.25,749.684937
6.19,881.295166
6.13,1155.578857
6.53,1037.17041
6.47,1100.233154
6.77,757.569885
6.8,749.786194
6.7,757.569885
6.64,785.433777
6.65,916.805237
6.11,925.228821
6.13,651.927673
7.57,554.234009
6.25,874.982056
6.29,550.33136
6.41,550.33136
5.44,875.386108
6.06,806.326538
6,1561.426514
7.7,524.209839
5.8,1209.671997
6.8,558.949829
6.25,665.322266
6.32,887.638123
6.19,887.638123
7.79,554.234009
6.19,550.33136
6.82,651.927673
6.35,1037.17041
5.77,875.386108
6.35,1100.233154
6.17,806.326538
6.66,1155.578857
5.83,1561.426514
6.45,558.949829
5.68,1636.796875
7.67,524.209839
6,1209.671997
6.35,757.569885
6.45,785.433777
6.59,749.786194
6.79,757.569885
6.44,916.805237
6.39,665.322266
6.43,654.744446
6.08,887.638123
6.13,887.638123
6.6,925.228821
6.62,352.684326
6.43,444.502045
7.08,367.818115
6.6,431.404266
6.44,1218.903198
6.15,876.887207
6.22,876.887207
6.59,1100.36743
6.37,1133.36011
6.04,1400.852417
6.3,874.982056
6.19,773.111755
6.27,718.657593
6.35,718.657593
6.34,852.403687
6.35,579.964905
6.3,655.070984
6.24,881.295166
6.34,749.684937
7.1,554.234009
6.05,550.33136
6.53,431.404266
6.42,352.684326
6.23,773.111755
6.51,367.818115
6.25,874.982056
5.59,1636.796875
6.21,558.949829
7.19,524.209839
6.43,718.657593
6.24,654.744446
6.25,852.403687
6.41,579.964905
6.39,655.070984
6.23,881.295166
6.25,749.684937
6.11,444.502045
5.93,1218.903198
5.85,876.887207
5.96,1133.36011
5.62,1100.36743
5.49,1400.852417
6.34,651.927673
5.91,806.326538
5.83,875.386108
6,887.638123
5.76,1209.671997
6.2,1100.233154
6.35,1155.578857
6.44,1037.17041
5.79,1266.984375
6.41,749.786194
6.46,1561.426514
6.59,757.569885
6.56,785.433777
6.5,665.322266
6.39,916.805237
6.14,925.228821
7.68,554.234009
6.21,550.33136
6.49,367.818115
6.44,651.927673
6.59,352.684326
6.45,431.404266
6.35,444.502045
6.09,876.887207
6.39,1155.578857
6.03,1133.36011
6.13,1100.36743
6.37,1037.17041
6.35,1218.903198
6.21,1100.233154
5.71,875.386108
5.84,1400.852417
6.45,558.949829
6.59,1561.426514
6.57,749.786194
7.49,524.209839
6.07,1266.984375
6.45,785.433777
5.91,1636.796875
6.6,757.569885
6.44,916.805237
6.34,665.322266
6.23,887.638123
6.34,925.228821
6.29,773.111755
6.25,874.982056
6.24,718.657593
6.23,579.964905
6.27,655.070984
6.44,654.744446
6.47,852.403687
6.34,749.684937
6.37,881.295166
7.09,554.234009
6.17,874.982056
6.09,773.111755
6.39,550.33136
6.35,651.927673
6.27,806.326538
5.86,875.386108
6.44,558.949829
6.31,1209.671997
6.27,1561.426514
7.35,524.209839
6.02,1266.984375
5.86,1636.796875
6.18,665.322266
6.56,718.657593
6.35,852.403687
6.54,579.964905
6.36,749.684937
6.49,881.295166
6.42,431.404266
6.32,444.502045
6.54,367.818115
6.36,352.684326
6.28,1133.36011
6.35,876.887207
6.43,1100.36743
6.53,1218.903198
6.36,1400.852417
6.24,1100.233154
6.47,1037.17041
6.48,1155.578857
6.3,749.786194
6.57,757.569885
6.53,785.433777
6.36,916.805237
6.23,925.228821
6.23,655.070984
6.36,654.744446
6.4,550.33136
7.39,554.234009
6.71,773.111755
6.46,651.927673
5.98,875.386108
6.25,806.326538
6.45,1209.671997
6.62,558.949829
7.52,524.209839
6.58,718.657593
6.22,655.070984
6.67,852.403687
6.41,579.964905
6.51,654.744446
6.48,887.638123
6.69,881.295166
6.84,749.684937
6.41,444.502045
6.45,444.502045
6.68,431.404266
6.66,367.818115
6.55,352.684326
6.51,1218.903198
6.26,876.887207
6.33,1100.36743
6.12,1133.36011
6.15,1400.852417
6.01,651.927673
6.42,550.33136
6.63,367.818115
6.48,431.404266
6.37,773.111755
6.43,352.684326
5.75,875.386108
6.21,1037.17041
6.25,1155.578857
6.1,806.326538
6.32,1100.233154
6.88,524.209839
6.32,749.786194
6.99,558.949829
6.29,757.569885
6.09,1266.984375
6.4,785.433777
6.43,1561.426514
6.08,1209.671997
6.33,916.805237
6.26,665.322266
6.63,925.228821
5.93,887.638123
6.3,444.502045
5.88,1100.36743
5.78,1218.903198
5.74,1133.36011
6.04,876.887207
5.63,1400.852417
6.25,874.982056
6.33,718.657593
6.32,655.070984
6.38,852.403687
6.36,579.964905
6.39,654.744446
6.38,749.684937
6.43,881.295166
5.63,651.927673
6.66,550.33136
7.49,554.234009
6.33,874.982056
6.06,806.326538
6.28,1037.17041
5.32,875.386108
6.31,1155.578857
6.34,1100.233154
7.55,524.209839
6.55,1561.426514
6.38,757.569885
6.78,558.949829
6.01,1209.671997
6.42,785.433777
6.63,749.786194
5.86,1636.796875
6.21,1266.984375
6.18,665.322266
6.41,916.805237
6.61,925.228821
5.98,887.638123
6.48,444.502045
6.61,1218.903198
6.35,876.887207
6.15,1133.36011
6.28,1400.852417
6.69,431.404266
6.28,773.111755
6.23,718.657593
6.54,852.403687
6.38,655.070984
6.44,654.744446
6.43,579.964905
6.58,749.684937
6.49,881.295166
6.41,550.33136
7.29,554.234009
6.63,431.404266
6.57,651.927673
6.38,806.326538
6.46,1100.233154
5.86,875.386108
6.47,1155.578857
6.4,1037.17041
7.68,524.209839
5.64,1209.671997
6.5,1561.426514
6.84,749.786194
6.64,785.433777
6.12,1266.984375
6.64,757.569885
6.73,558.949829
6.82,718.657593
6.58,665.322266
6.57,916.805237
6.69,579.964905
6.69,654.744446
6.67,852.403687
6.48,655.070984
7.06,749.684937
6.82,881.295166
6.61,925.228821
6.24,887.638123
6.73,444.502045
6.63,874.982056
6.35,773.111755
6.86,367.818115
6.68,352.684326
6.9,1218.903198
6.39,1133.36011
6.34,1100.36743
6.29,876.887207
6.51,1400.852417
7.6,554.234009
6.46,773.111755
6.4,550.33136
6.62,874.982056
6.56,651.927673
6.54,1037.17041
5.84,875.386108
6.26,806.326538
6.46,1100.233154
6.45,1155.578857
7.63,524.209839
6.6,1561.426514
6.76,757.569885
6.11,1636.796875
6.78,749.786194
6.55,558.949829
6.16,1266.984375
6.58,785.433777
6.13,1209.671997
6.39,665.322266
6.45,718.657593
6.58,916.805237
6.59,654.744446
6.56,852.403687
6.28,887.638123
6.66,881.295166
6.44,925.228821
6.53,655.070984
6.46,579.964905
6.61,749.684937
6.59,444.502045
6.54,431.404266
6.43,352.684326
6.75,367.818115
6.46,1218.903198
6.33,1100.36743
6.31,876.887207
6.25,1133.36011
6.07,1400.852417
7.43,554.234009
6.45,550.33136
6.59,651.927673
6.38,874.982056
6.31,773.111755
6.29,1155.578857
6.18,1100.233154
6.27,1037.17041
5.93,875.386108
6.21,806.326538
7.4,524.209839
6.3,757.569885
6.34,785.433777
6.47,749.786194
6.1,1266.984375
6.13,1209.671997
6.43,1561.426514
5.85,1636.796875
6.51,558.949829
6.28,665.322266
6.54,916.805237
6.32,579.964905
6.38,852.403687
6.37,655.070984
6.46,654.744446
6.6,881.295166
6.24,925.228821
6.11,887.638123
6.44,444.502045
6.41,352.684326
6.62,367.818115
6.51,431.404266
6.03,1133.36011
6.04,876.887207
5.99,1100.36743
6.25,1218.903198
5.58,1400.852417
6.35,718.657593
6.49,749.684937
6.41,651.927673
7.44,554.234009
6.36,550.33136
5.78,875.386108
6.13,1037.17041
6.3,1100.233154
6.46,1155.578857
6.19,1636.796875
7.58,524.209839
6.07,1266.984375
6.49,1561.426514
6.58,558.949829
6.46,785.433777
6.77,749.786194
6.61,757.569885
6.51,916.805237
6.43,665.322266
6.49,925.228821
6.61,444.502045
6.27,1133.36011
6.38,1100.36743
6.54,1218.903198
6.28,876.887207
6.19,1400.852417
6.7,431.404266
6.76,367.818115
6.56,352.684326
6.47,773.111755
6.48,874.982056
6.61,718.657593
6.82,579.964905
6.61,654.744446
6.61,852.403687
6.39,655.070984
6.59,749.684937
6.48,881.295166
6.41,550.33136
7.3,554.234009
6.57,651.927673
6.58,1155.578857
6.53,1100.233154
6.53,1037.17041
6.36,806.326538
5.96,875.386108
6.57,1561.426514
6.13,1266.984375
6.62,757.569885
6.61,785.433777
6.17,1209.671997
6.72,749.786194
5.95,1636.796875
7.22,558.949829
6.57,665.322266
6.59,916.805237
6.27,887.638123
6.57,925.228821
6.81,431.404266
6.47,444.502045
6.62,352.684326
6.78,367.818115
6.36,1100.36743
6.48,1218.903198
6.32,1133.36011
6.33,876.887207
6.23,1400.852417
6.29,773.111755
6.49,874.982056
6.59,718.657593
6.6,852.403687
6.54,654.744446
6.5,655.070984
6.49,579.964905
6.45,749.684937
6.5,881.295166
6.56,651.927673
5.97,875.386108
6.29,806.326538
6.24,887.638123
6.37,1100.233154
6.48,1155.578857
6.37,1037.17041
6.03,1266.984375
6.47,1561.426514
5.95,1636.796875
6.54,785.433777
6.72,749.786194
6.6,757.569885
6.48,665.322266
6.62,916.805237
6.58,925.228821
6.6,550.33136
7.58,554.234009
6.89,558.949829
6.58,773.111755
6.51,874.982056
6.21,1209.671997
6.57,718.657593
6.41,852.403687
6.51,579.964905
6.49,655.070984
6.49,654.744446
6.46,881.295166
6.53,749.684937
6.55,431.404266
6.46,444.502045
6.63,367.818115
6.47,352.684326
6.44,1218.903198
6.23,876.887207
6.17,1133.36011
6.24,1100.36743
6.22,1400.852417
6.33,1100.233154
6.43,1037.17041
6.44,1155.578857
5.94,1266.984375
6.3,1561.426514
6.48,749.786194
6.42,757.569885
6.42,785.433777
6.29,665.322266
6.41,916.805237
6.19,925.228821
6.22,352.684326
6.54,431.404266
6.52,367.818115
4.96,444.502045
5.78,1133.36011
5.73,1100.36743
5.97,876.887207
6.05,1218.903198
5.78,1400.852417
6.26,651.927673
6.07,875.386108
6.2,806.326538
5.91,887.638123
6.45,773.111755
6.44,874.982056
6.09,1209.671997
6.2,718.657593
6.34,852.403687
6.47,655.070984
6.43,654.744446
6.41,579.964905
6.4,881.295166
6.44,749.684937
6.8,554.234009
6.18,550.33136
6.9,524.209839
6.19,558.949829
5.91,1636.796875
5.88,444.502045
6.25,431.404266
6.272,352.684326
6.363,367.818115
5.69,1218.903198
5.428,1100.36743
5.76,876.887207
5.424,1133.36011
5.168,1400.852417
6.338,651.927673
5.864,875.386108
6.114,806.326538
6.05,887.638123
7.078,554.234009
6.263,550.33136
6.235,1037.17041
6.47,1155.578857
6.5,1100.233154
6.97,524.209839
6.325,757.569885
6.465,749.786194
5.906,1266.984375
6.476,558.949829
6.31,1209.671997
6.56,785.433777
6.36,1561.426514
6.242,665.322266
6.41,718.657593
6.37,916.805237
6.071,925.228821
6.44,773.111755
6.45,874.982056
6.195,852.403687
6.068,655.070984
6.34,654.744446
6.38,579.964905
6.216,749.684937
6.33,881.295166
6.968861103,651.927673
6.573704243,806.326538
6.117132664,875.386108
6.512086391,887.638123
7.382608414,367.818115
7.248866081,431.404266
7.174736023,352.684326
6.873473644,444.502045
6.958477497,876.887207
6.919195652,1218.903198
6.770423412,1100.36743
6.714147568,1400.852417
6.884050846,1155.578857
6.995922089,1100.233154
6.923361778,1037.17041
7.056087971,1561.426514
7.220125675,749.786194
6.570317745,1266.984375
7.060116291,757.569885
7.006287575,785.433777
7.112104416,916.805237
6.983334064,665.322266
6.98760128,925.228821
7.900689602,554.234009
7.03949976,550.33136
7.043715,558.949829
6.966927528,874.982056
6.888341427,773.111755
7.068327427,718.657593
7.053924561,654.744446
6.911147594,655.070984
6.871878147,579.964905
7.035277367,749.684937
7.010355473,881.295166
6.660990715,773.111755
6.381468296,1209.671997
6.739244938,718.657593
6.814331532,654.744446
6.634833336,579.964905
6.644952297,655.070984
6.845060349,749.684937
6.802201271,881.295166
6.572849274,444.502045
6.304276943,876.887207
6.265806675,1218.903198
6.113219261,1100.36743
6.154463768,1133.36011
5.35010004,1400.852417
5.683368683,1636.796875
6.667125225,651.927673
6.442049026,806.326538
6,875.386108
6.322268963,887.638123
6.666645527,1155.578857
6.611344814,1037.17041
6.539792061,1100.233154
6.817858696,1561.426514
7.038927078,749.786194
6.764698029,785.433777
6.322635174,1266.984375
6.767046928,757.569885
6.71362257,665.322266
6.756494045,916.805237
6.703154087,925.228821
7.734521866,554.234009
6.601316929,550.33136
7.763250828,558.949829
6.830289364,524.209839
7.006335735,431.404266
6.398,367.818115
6.898760796,444.502045
6.797335148,352.684326
7.127662182,367.818115
6.755467892,431.404266
6.525584221,876.887207
6.838034153,1218.903198
6.442320824,1100.36743
6.258803368,1133.36011
6.426398754,1400.852417
6.981274128,874.982056
6.823160648,773.111755
6.509190559,1209.671997
6.987379551,718.657593
6.98741436,718.657593
7.033294201,654.744446
6.960347652,579.964905
6.914794445,655.070984
7.008208275,852.403687
